iter	RMSE
163	12068.62593
164	12044.26548
165	12024.25283
166	11993.97274
167	11963.87272
168	11944.57076
169	11913.40977
170	11902.34343
171	11873.173
172	11834.55559
173	11798.01976
174	11774.91827
175	11758.31096
176	11739.58873
177	11717.33938
178	11702.44338
179	11675.38515
180	11661.31886
181	11637.65066
182	11607.54308
183	11580.73874
184	11549.58265
185	11537.16787
186	11509.89762
187	11488.04711
188	11476.29093
189	11448.72193
190	11418.30096
191	11396.56968
192	11378.30029
193	11355.03527
194	11336.62631
195	11318.78916
196	11301.38957
197	11281.1888
198	11263.81431
199	11239.59565
200	11212.04472
201	11197.4063
202	11184.99911
203	11137.76177
204	11101.05595
205	11076.87827
206	11057.90904
207	11037.7511
208	11023.5411
209	10997.0174
210	10974.50884
211	10946.39941
212	10914.90093
213	10894.49451
214	10866.04359
215	10850.49728
216	10836.72974
217	10814.08972
218	10795.47558
219	10775.43801
220	10756.54391
221	10745.7054
222	10714.78826
223	10697.26768
224	10681.43046
225	10665.04471
226	10650.78794
227	10627.99694
228	10618.8392
229	10602.05162
230	10579.15238
231	10570.47593
232	10551.55172
233	10529.92684
234	10522.442
235	10489.37948
236	10472.9069
237	10453.52931
238	10434.86607
239	10420.7077
240	10414.95113
241	10395.18113
242	10381.26627
243	10370.39462
244	10352.92037
245	10332.10894
246	10308.59816
247	10286.07526
248	10274.81456
249	10260.12206
250	10246.91394
251	10230.66225
252	10216.98451
253	10207.69137
254	10192.68833
255	10184.18119
256	10172.20676
257	10158.57476
258	10147.9094
259	10128.17655
260	10122.6252
261	10111.60661
262	10093.6983
263	10079.78464
264	10062.72657
265	10039.72812
266	10023.09489
267	10004.92795
268	9996.55404
269	9979.31648
270	9967.432547
271	9958.012735
272	9947.819613
273	9940.106321
274	9929.479806
275	9916.582323
276	9905.860729
277	9893.8385
278	9885.402016
279	9875.087155
280	9855.150468
281	9835.821877
282	9824.648334
283	9819.432041
284	9811.776169
285	9791.395974
286	9776.511156
287	9769.116976
288	9752.622628
289	9742.951399
290	9728.713898
291	9722.961892
292	9712.938974
293	9707.48982
294	9694.759757
295	9682.048725
296	9664.347827
297	9647.211318
298	9631.137929
299	9620.761623
300	9607.218128
301	9591.549588
302	9584.214621
303	9576.593016
304	9566.412704
305	9556.357248
306	9548.457388
307	9536.029187
308	9526.343012
309	9514.404096
310	9498.318611
311	9484.074202
312	9471.873823
313	9457.757505
314	9443.685
315	9431.746664
316	9415.608593
317	9410.865505
318	9390.292552
319	9378.39317
320	9365.581122
321	9348.110122
322	9343.006552
323	9330.864377
324	9322.994387
325	9308.388125
326	9290.179706
327	9275.524334
328	9266.259679
329	9257.845493
330	9249.815578
331	9242.344801
332	9230.504917
333	9217.459206
334	9210.738934
335	9201.621475
336	9193.24465
337	9181.364724
338	9171.30322
339	9154.539178
340	9151.772048
341	9142.849725
342	9125.743779
343	9119.309192
344	9104.155738
345	9094.857046
346	9081.562526
347	9069.20385
348	9064.662159
349	9058.970206
350	9046.835038
351	9038.768637
352	9027.909061
353	9015.5296
354	9001.802029
355	8980.390184
356	8975.970624
357	8970.465666
358	8957.935744
359	8944.514842
360	8934.759472
361	8927.459485
362	8920.857449
363	8909.512501
364	8902.417146
365	8890.721468
366	8881.654587
367	8872.026877
368	8865.731272
369	8859.819473
370	8854.730422
371	8845.977881
372	8830.969779
373	8825.064123
374	8814.149522
375	8795.96157
376	8774.946807
377	8766.950702
378	8758.795381
379	8757.200251
380	8756.039786
381	8742.184936
382	8737.042025
383	8727.249994
384	8724.402251
385	8710.147332
386	8698.824341
387	8693.184819
388	8684.745892
389	8682.929615
390	8682.347555
391	8667.819249
392	8651.546438
393	8647.935342
394	8643.175651
395	8640.159671
396	8622.464764
397	8605.749417
398	8603.199438
399	8597.498304
400	8591.283427
401	8586.675016
402	8571.479703
403	8561.211481
404	8549.795199
405	8535.130018
406	8527.335288
407	8526.828765
408	8526.438624
409	8519.976877
410	8508.083858
411	8499.907393
412	8498.795109
413	8487.196634
414	8478.039006
415	8477.591338
416	8477.138138
417	8467.453239
418	8461.154124
419	8454.231036
420	8449.775372
421	8449.311968
422	8444.142217
423	8433.574463
424	8428.362223
425	8420.362393
426	8412.358287
427	8407.483677
428	8403.349288
429	8394.778843
430	8387.514678
431	8383.176352
432	8375.285529
433	8359.863324
434	8343.999206
435	8336.951166
436	8330.20777
437	8324.503275
438	8321.445319
439	8311.071023
440	8306.535692
441	8294.233378
442	8290.209882
443	8280.662573
444	8274.020656
445	8266.641808
446	8260.846835
447	8255.367934
448	8248.245261
449	8239.820105
450	8234.523379
451	8214.92804
452	8208.812382
453	8201.981896
454	8194.255507
455	8174.763035
456	8167.471999
457	8155.585242
458	8146.279978
459	8136.905901
460	8127.174824
461	8122.599398
462	8118.349408
463	8104.451111
464	8102.333035
465	8094.594891
466	8075.669988
467	8069.214429
468	8051.339489
469	8049.040722
470	8048.645617
471	8048.26845
472	8041.999966
473	8037.566017
474	8023.39539
475	8013.616568
476	8001.348199
477	7993.883758
478	7989.291517
479	7983.900107
480	7973.94618
481	7958.762422
482	7949.195495
483	7943.185585
484	7937.875093
485	7928.411302
486	7921.245775
487	7904.977942
488	7896.817727
489	7890.691376
490	7890.424445
491	7871.746844
492	7859.487434
493	7852.795892
494	7842.579457
495	7831.968402
496	7826.680099
497	7818.112921
498	7814.447871
499	7807.964299
