iter	Passed	Remaining
0	172	85872
1	176	43918
2	183	30454
3	189	23464
4	194	19257
5	199	16421
6	203	14354
7	207	12764
8	210	11499
9	213	10482
10	216	9613
11	218	8896
12	221	8283
13	222	7738
14	224	7256
15	226	6841
16	227	6472
17	229	6135
18	230	5834
19	231	5560
20	232	5311
21	234	5086
22	235	4878
23	236	4688
24	237	4511
25	238	4347
26	239	4194
27	240	4054
28	241	3922
29	242	3798
30	243	3682
31	244	3573
32	245	3470
33	246	3373
34	246	3281
35	247	3194
36	248	3112
37	249	3034
38	250	2961
39	251	2890
40	252	2822
41	252	2757
42	253	2696
43	254	2637
44	255	2580
45	255	2526
46	256	2474
47	257	2423
48	258	2376
49	258	2329
50	259	2284
51	260	2241
52	260	2199
53	261	2159
54	262	2120
55	262	2083
56	263	2047
57	264	2013
58	264	1979
59	265	1946
60	266	1914
61	266	1883
62	267	1854
63	267	1825
64	268	1797
65	269	1770
66	269	1744
67	270	1718
68	271	1693
69	271	1668
70	272	1645
71	272	1622
72	273	1599
73	274	1578
74	274	1557
75	275	1536
76	275	1515
77	276	1496
78	277	1477
79	277	1458
80	278	1440
81	279	1422
82	279	1405
83	280	1388
84	280	1371
85	281	1355
86	282	1339
87	282	1324
88	283	1309
89	284	1294
90	284	1280
91	285	1266
92	286	1252
93	286	1239
94	287	1225
95	288	1212
96	288	1199
97	289	1186
98	289	1174
99	290	1162
100	291	1150
101	291	1138
102	292	1126
103	292	1115
104	293	1104
105	294	1093
106	294	1082
107	295	1072
108	296	1062
109	296	1052
110	297	1042
111	298	1032
112	298	1022
113	299	1013
114	299	1004
115	300	994
116	301	985
117	301	976
118	302	968
119	303	959
120	303	951
121	304	943
122	305	935
123	305	927
124	306	919
125	307	911
126	307	903
127	308	896
128	309	888
129	309	881
130	310	874
131	311	867
132	311	860
133	312	853
134	313	846
135	314	840
136	314	833
137	315	826
138	315	820
139	316	813
140	317	807
141	317	800
142	318	794
143	318	788
144	319	782
145	320	776
146	320	770
147	321	764
148	322	758
149	322	753
150	323	747
151	324	741
152	324	736
153	325	730
154	325	725
155	326	720
156	327	715
157	327	709
158	328	704
159	329	699
160	329	694
161	330	689
162	331	684
163	331	679
164	332	675
165	333	670
166	333	665
167	334	660
168	335	656
169	335	651
170	336	647
171	336	642
172	337	637
173	338	633
174	338	629
175	339	624
176	339	620
177	340	616
178	341	612
179	342	608
180	342	604
181	343	599
182	343	595
183	344	591
184	345	587
185	345	583
186	346	579
187	346	575
188	347	571
189	348	567
190	348	564
191	349	560
192	349	556
193	350	552
194	351	549
195	351	545
196	352	542
197	353	538
198	353	535
199	354	531
200	355	528
201	355	524
202	356	521
203	356	517
204	357	514
205	358	510
206	358	507
207	359	504
208	359	501
209	360	497
210	361	494
211	361	491
212	362	488
213	362	484
214	363	481
215	364	478
216	364	475
217	365	472
218	365	469
219	366	466
220	367	463
221	367	460
222	368	457
223	368	454
224	369	451
225	370	448
226	370	446
227	371	443
228	372	440
229	372	437
230	373	435
231	374	432
232	374	429
233	375	426
234	376	424
235	376	421
236	377	418
237	377	415
238	378	413
239	378	410
240	379	407
241	380	405
242	380	402
243	381	400
244	382	397
245	382	395
246	383	392
247	384	390
248	384	387
249	385	385
250	385	382
251	386	380
252	387	378
253	387	375
254	388	373
255	389	370
256	389	368
257	390	366
258	390	363
259	391	361
260	392	359
261	392	356
262	393	354
263	394	352
264	394	350
265	395	347
266	396	345
267	396	343
268	397	341
269	397	338
270	398	336
271	399	334
272	400	332
273	400	330
274	401	328
275	402	326
276	402	324
277	403	322
278	403	319
279	404	317
280	405	315
281	405	313
282	406	311
283	407	309
284	407	307
285	408	305
286	409	303
287	409	301
288	410	299
289	411	297
290	411	295
291	412	293
292	413	291
293	413	289
294	414	287
295	415	286
296	415	284
297	416	282
298	416	280
299	417	278
300	418	276
301	418	274
302	419	272
303	420	270
304	420	269
305	421	267
306	422	265
307	422	263
308	423	261
309	423	259
310	424	257
311	425	256
312	425	254
313	426	252
314	426	250
315	427	248
316	428	247
317	428	245
318	429	243
319	430	241
320	430	240
321	431	238
322	431	236
323	432	234
324	433	233
325	433	231
326	434	229
327	435	228
328	435	226
329	436	224
330	436	223
331	437	221
332	438	219
333	438	218
334	439	216
335	440	214
336	440	213
337	441	211
338	441	209
339	442	208
340	443	206
341	443	205
342	444	203
343	445	201
344	445	200
345	446	198
346	447	197
347	447	195
348	448	193
349	448	192
350	449	190
351	450	189
352	450	187
353	451	186
354	451	184
355	452	183
356	453	181
357	453	179
358	454	178
359	455	176
360	455	175
361	456	173
362	457	172
363	457	170
364	458	169
365	458	167
366	459	166
367	460	165
368	460	163
369	461	162
370	461	160
371	462	159
372	463	157
373	463	156
374	464	154
375	465	153
376	465	151
377	466	150
378	466	149
379	467	147
380	468	146
381	468	144
382	469	143
383	469	141
384	470	140
385	471	139
386	471	137
387	472	136
388	473	135
389	473	133
390	474	132
391	475	130
392	475	129
393	476	128
394	476	126
395	477	125
396	478	124
397	478	122
398	479	121
399	480	120
400	480	118
401	481	117
402	481	116
403	482	114
404	483	113
405	483	112
406	484	110
407	485	109
408	485	108
409	486	106
410	487	105
411	487	104
412	488	102
413	488	101
414	489	100
415	489	98
416	490	97
417	491	96
418	491	95
419	492	93
420	493	92
421	493	91
422	494	89
423	494	88
424	495	87
425	496	86
426	496	84
427	497	83
428	497	82
429	498	81
430	499	79
431	499	78
432	500	77
433	501	76
434	502	75
435	502	73
436	503	72
437	503	71
438	504	70
439	505	68
440	505	67
441	506	66
442	506	65
443	507	64
444	508	62
445	508	61
446	509	60
447	510	59
448	510	58
449	511	56
450	512	55
451	512	54
452	513	53
453	513	52
454	514	50
455	515	49
456	515	48
457	516	47
458	517	46
459	517	45
460	518	43
461	519	42
462	519	41
463	520	40
464	521	39
465	521	38
466	522	36
467	522	35
468	523	34
469	524	33
470	524	32
471	525	31
472	526	30
473	526	28
474	527	27
475	527	26
476	528	25
477	529	24
478	530	23
479	530	22
480	531	20
481	532	19
482	532	18
483	533	17
484	533	16
485	534	15
486	535	14
487	535	13
488	536	12
489	537	10
490	537	9
491	538	8
492	539	7
493	539	6
494	540	5
495	541	4
496	541	3
497	542	2
498	542	1
499	543	0
